benchmark,combo,method,model,split,complete,aggregate,aggregate_mu,memorization,privacy_score,utility,model_utility,lr,epochs,retain_loss_type,target_id,path,exact_memorization,extraction_strength,forget_Q_A_PARA_Prob,forget_Q_A_gibberish,forget_quality,forget_truth_ratio,mia_loss,mia_min_k,mia_min_k_plus_plus,mia_zlib,privleak,retain_Q_A_Prob,retain_Truth_Ratio,ra_Q_A_Prob_normalised,ra_Truth_Ratio,wf_Q_A_Prob_normalised,wf_Truth_Ratio,retain_Q_A_ROUGE,ra_Q_A_ROUGE,wf_Q_A_ROUGE,forget_Q_A_ROUGE,ra_Q_A_Prob,wf_Q_A_Prob,retain_Q_A_PARA_Prob,retain_Q_A_PERT_Prob,ra_Q_A_PERT_Prob,wf_Q_A_PERT_Prob,forget_Q_A_PERT_Prob,eval_seconds,eval_vram_mb,train_seconds,train_vram_mb
tofu,weight-baseline,GradDiff,Llama-3.1-8B-Instruct,forget10,True,0.11125119983581677,0.11192064842834744,0.1186981622813654,0.060176893136527174,0.519859431703865,0.5674399780010126,2e-05,5,NLL,open-unlearning/tofu_Llama-3.1-8B-Instruct_full,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/baselines/tofu/GradDiff/Llama-3.1-8B-Instruct/forget10,0.060105941789224744,0.03450210849533252,0.004137818829983326,0.4796409434080124,1.7295376317382011e-174,0.03268499240627781,0.029543749999999994,0.028490625,0.016518749999999992,0.027953124999999992,56.729819103957766,0.5111731939390302,0.4102654092645913,0.4944525822074127,0.6391062840162693,0.5390156311522274,0.6999120802759349,0.4265696660954901,0.9005,0.8763532763532763,0.04833128184331107,0.0639013947525973,0.04845771998000981,0.11835739663569257,0.06582250041835323,0.016178535018904466,0.009942848245063984,0.005897714148683008,480.908,25562.6,3083.705,38856.5
tofu,weight-baseline,NPO,Llama-3.1-8B-Instruct,forget10,True,0.46103899710684554,0.44755654938959727,0.6651364683159381,0.2759105853893264,0.7250431266236375,0.63481982024941,2e-05,10,NLL,open-unlearning/tofu_Llama-3.1-8B-Instruct_full,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/baselines/tofu/NPO/Llama-3.1-8B-Instruct/forget10,0.5631676200777292,0.06936468497837665,0.01781195602794469,0.8451610239682487,0.6405071979325999,0.6127728318069421,0.11928437500000001,0.11303437499999999,0.08055,0.15805624999999998,43.09070559308061,0.7427100944519043,0.49857909403787803,0.48762871534503277,0.6168538078433385,0.5558622655067915,0.7358588234425517,0.5885993308887817,0.8395,0.9048433048433049,0.2806241255457358,0.02929577991919359,0.011882160877135926,0.11558400629553944,0.0500382661252379,0.009031493673376948,0.0026824422059919598,0.016146638557733243,410.704,25562.6,10890.003,46888.4
tofu,weight-baseline,RMU,Llama-3.1-8B-Instruct,forget10,True,0.12377302567908599,0.12928584448219288,0.8798944018794842,0.04857577932125414,0.3976106635104729,0.6749891823182119,5e-05,5,EMBED_DIFF,open-unlearning/tofu_Llama-3.1-8B-Instruct_full,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/baselines/tofu/RMU/Llama-3.1-8B-Instruct/forget10,0.12729784378781914,0.032553572832278076,0.0013605923948307463,0.28180596247293577,4.2606809322061477e-10,0.7325350823849982,0.01888749999999999,0.022859374999999994,0.9275374999999999,0.008206249999999965,57.63828670751364,0.9735169094055891,0.51684303086862,0.4823739015413344,0.6025462902004335,0.521827525128138,0.681155695716924,0.9556277247843377,0.9265000000000001,0.8860398860398859,0.06846268595108805,0.06487894603737004,0.023708269275437906,0.06730128774535843,0.02713372636843486,0.01571633513292606,0.003767757632953354,0.002150255870276851,425.085,25562.6,8693.259,46606.9
tofu,weight-baseline,SimNPO,Llama-3.1-8B-Instruct,forget10,True,0.47034064232501943,0.44286579477563803,0.6913651206153237,0.3142597363841499,0.571473979814299,0.4660774222932249,5e-05,10,NLL,open-unlearning/tofu_Llama-3.1-8B-Instruct_full,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/baselines/tofu/SimNPO/Llama-3.1-8B-Instruct/forget10,0.5421735913865269,0.055102013703321455,0.03555940340491361,0.738467563528102,0.415788823500893,0.6639069737556477,0.16335,0.15140625,0.079425,0.16919062499999998,36.90032062967186,0.47036052340641615,0.42665904941521887,0.36040229591959866,0.47122286922212786,0.3890135401064004,0.5344244370079142,0.4663149797641509,0.5163333333333333,0.7039886039886041,0.26691194439376487,0.006343531086645271,0.0025292373094506124,0.10578021732158958,0.0575181129849426,0.003369539810044948,0.0011480037883908516,0.030085919847857436,453.819,25562.6,6170.461,38856.5
tofu,weight-baseline,UNDIAL,Llama-3.1-8B-Instruct,forget10,True,0.5583274903144064,0.5173419596720262,0.6700702939740948,0.4414330713399425,0.6190184457450538,0.48992168277702186,0.0001,10,NLL,open-unlearning/tofu_Llama-3.1-8B-Instruct_full,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/baselines/tofu/UNDIAL/Llama-3.1-8B-Instruct/forget10,0.4877719044312835,0.049635082019043555,0.11817521395627409,0.8404922774457373,1.876936326891253e-22,0.5461412448204733,0.69064375,0.8191531249999999,0.74275625,0.5743875,-70.8246788488052,0.4949700203537941,0.4304292981448309,0.39529304793271597,0.5025327490333862,0.3795196722621197,0.5176289015931551,0.4895745188302428,0.6365,0.7538461538461538,0.364605574199559,0.008729450949831517,0.008445989340596217,0.10388764441711829,0.05663556552438331,0.0038290822621017168,0.0035237706113962785,0.06437182328753989,392.311,25562.6,11702.495,46888.4
tofu,weight-baseline,GradDiff,Llama-3.2-1B-Instruct,forget01,True,0.08521851341211535,0.08448158333215011,0.22869172672090882,0.03396961396255644,0.7179545964282855,0.5882609893235692,2e-05,5,NLL,open-unlearning/tofu_Llama-3.2-1B-Instruct_full,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/baselines/tofu/GradDiff/Llama-3.2-1B-Instruct/forget01,0.9217201948165894,0.34636432966559283,0.06549992016516626,0.9210089892148972,0.006760732303569208,0.4725646654367237,0.98,0.98125,0.9218749999999999,0.9918750000000001,-96.45808734895715,0.8500421094894409,0.5237774441068946,0.41019184027581973,0.5351665289882276,0.42955642651890347,0.6231471531313689,0.7025031444421995,0.7445,0.827920227920228,0.6126515369627519,0.011253085085263593,0.0033621652634741876,0.057940220548189245,0.024605107137783633,0.0044451451711144795,0.0011275281298757998,0.026307450062304272,87.769,9097.4,22.124,15931.4
tofu,weight-baseline,IdkDPO,Llama-3.2-1B-Instruct,forget01,True,0.04146833463447813,0.041277804380358704,0.25137570667736664,0.014936364608638553,0.7064381233160183,0.5715985762827183,1e-05,10,NLL,open-unlearning/tofu_Llama-3.2-1B-Instruct_full,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/baselines/tofu/IdkDPO/Llama-3.2-1B-Instruct/forget01,0.9119200587272644,0.331820380568454,0.1570849373936653,0.9245350375771523,0.006760732303569208,0.533006092228025,0.9853125,0.991875,0.98875,0.99625,-98.46517117384363,0.7738520857691765,0.4705626517019262,0.3960909475238673,0.4881533564548001,0.4565005813388727,0.6065564095849342,0.6435817365581058,0.8545,0.8393162393162393,0.38571716382673893,0.08828569289995357,0.05044780454984428,0.13272323224693536,0.06548102003036911,0.04298942749165387,0.01867345122244508,0.07835519843734799,86.746,9097.4,85.149,18404.1
tofu,weight-baseline,IdkNLL,Llama-3.2-1B-Instruct,forget01,True,0.2279970625751064,0.21671054692108896,0.45596846357807314,0.10809563346719438,0.5834773307443935,0.4168145287265408,5e-05,5,NLL,open-unlearning/tofu_Llama-3.2-1B-Instruct_full,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/baselines/tofu/IdkNLL/Llama-3.2-1B-Instruct/forget01,0.7925039812922478,0.16256878883265732,0.1336151335388422,0.9722172692418098,0.01430154804770646,0.6231237897733612,0.9309375000000001,0.9412499999999998,0.949375,0.9574999999999999,-88.90200706703146,0.5643353485316038,0.41092985516225594,0.38888197899522914,0.4567494327431391,0.45104698999447707,0.5827180764750287,0.17563125121601353,0.597,0.7552706552706553,0.030769029868962607,0.24186469016596676,0.15545869692682457,0.13287319779861717,0.0752802528825705,0.12765244219607363,0.06358664113323173,0.0828388723405078,79.835,9097.4,20.692,15931.3
tofu,weight-baseline,NPO,Llama-3.2-1B-Instruct,forget01,True,0.6303703892568417,0.5840910983411584,0.627525243223481,0.5835964053683511,0.6886898451337274,0.5467137481000217,2e-05,10,NLL,open-unlearning/tofu_Llama-3.2-1B-Instruct_full,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/baselines/tofu/NPO/Llama-3.2-1B-Instruct/forget01,0.6309624433517456,0.06513225730679674,0.0732534087728709,0.9302722529508174,0.5786001416508443,0.6597260767748885,0.29562499999999997,0.24562499999999998,0.3075,0.329375,42.50295158583178,0.6128889979422092,0.46178060916176905,0.41554176898880557,0.5251514496636035,0.4582671772418435,0.6189920599085489,0.4642766400673723,0.8370000000000001,0.827920227920228,0.3096889096120477,0.03825838189062779,0.01900985723972569,0.12354599282145501,0.06164455718634326,0.015739798609004842,0.007198770962725866,0.05357342348434031,87.806,9097.4,52.057,18404.0
tofu,weight-baseline,PDU,Llama-3.2-1B-Instruct,forget01,True,0.4340760724670373,0.4242740749453027,0.6440240412860512,0.26258186571449205,0.6450956116564274,0.5848541922952787,1e-05,10,NLL,open-unlearning/tofu_Llama-3.2-1B-Instruct_full,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/baselines/tofu/PDU/Llama-3.2-1B-Instruct/forget01,0.5829321905970574,0.0688976223037611,0.03209921573288739,0.7191721063107253,0.02860307028023343,0.5861331028607744,0.3721875,0.45,0.9587499999999999,0.4415625,3.8961038953679146,0.6576361203938723,0.5048097376643925,0.43965293629259383,0.5475366400942757,0.49616924188172035,0.672023948558528,0.6146515800142027,0.687,0.8333333333333334,0.2645531551950647,0.055525121180107814,0.032043906998840875,0.11296535096946173,0.05125453988582604,0.02180905497799055,0.01080459271166518,0.019328802016098053,93.753,9097.4,35.235,15931.4
tofu,weight-baseline,RMU,Llama-3.2-1B-Instruct,forget01,True,0.5822407809534611,0.4946710221441392,0.8071808602112243,0.6480415350282808,0.42184893559993564,0.30463230534758484,5e-05,5,EMBED_DIFF,open-unlearning/tofu_Llama-3.2-1B-Instruct_full,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/baselines/tofu/RMU/Llama-3.2-1B-Instruct/forget01,0.3823714699596167,0.031766070940581356,0.020584169344510884,0.6856887167785317,0.09707484379785862,0.7796677274705525,0.2871875,0.334375,0.6525,0.314375,25.737898460309243,0.1211318738386035,0.28401115441957786,0.36064882634577144,0.44494723808822834,0.40133921088409524,0.5584707415610921,0.22091558046596482,0.4028333333333333,0.6868945868945869,0.1686601808286498,0.04536771604398382,0.04953135192435238,0.044284386576619,0.031249834493537493,0.019782520639673746,0.019188747793057757,0.020265851461444984,108.865,9097.4,16.698,18404.1
tofu,weight-baseline,SatImp,Llama-3.2-1B-Instruct,forget01,True,0.11643586579729916,0.1151155136478649,0.36833599012813323,0.046155391355050056,0.7223329693624454,0.5952644948541693,1e-05,10,NLL,open-unlearning/tofu_Llama-3.2-1B-Instruct_full,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/baselines/tofu/SatImp/Llama-3.2-1B-Instruct/forget01,0.8442299634218215,0.2027852719633542,0.08000091584399342,0.9183742523193359,0.006760732303569208,0.4765068987050891,0.964375,0.97125,0.950625,0.989375,-94.56906727847573,0.8642050674557686,0.5233935411849464,0.41658178034931387,0.5377658284198243,0.4375846373822602,0.6300103386845305,0.7558319872445759,0.727,0.8193732193732194,0.4904566365041453,0.014228065490169684,0.004418708817416709,0.0701434000316658,0.030095788995809957,0.005615818417912426,0.0015294833939900872,0.03345513596548699,86.982,9097.4,34.046,18404.0
tofu,weight-baseline,SimNPO,Llama-3.2-1B-Instruct,forget01,True,0.557877610586019,0.5201633535117688,0.5151390350857661,0.5083510064761332,0.6806632133983006,0.5379089265773666,5e-05,10,NLL,open-unlearning/tofu_Llama-3.2-1B-Instruct_full,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/baselines/tofu/SimNPO/Llama-3.2-1B-Instruct/forget01,0.7440612882375717,0.07596722384299653,0.08246524631977081,0.9265608489513397,0.09707484379785862,0.5932539012375743,0.7890625,0.7825,0.59625,0.739375,-58.91381344813907,0.600195022970438,0.46293759734348655,0.4206253026410263,0.5376357067857712,0.4582040478069683,0.6240090440537447,0.4441343832591007,0.7153333333333333,0.8108262108262109,0.37487482825219265,0.054476082123001104,0.020259859031980302,0.09154609227785841,0.04608172326446151,0.02193835317443396,0.0067995625540694824,0.05733488910365849,89.085,9097.4,44.182,15931.4
tofu,weight-baseline,UNDIAL,Llama-3.2-1B-Instruct,forget01,True,0.19983054197935568,0.19302543313062573,0.8007113899168182,0.08283847526280856,0.5909657512792486,0.45016277846894515,0.0001,10,NLL,open-unlearning/tofu_Llama-3.2-1B-Instruct_full,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/baselines/tofu/UNDIAL/Llama-3.2-1B-Instruct/forget01,0.33962296023964883,0.03373641226437096,0.05300766626605764,0.8599397197365761,0.09707484379785862,0.7192266652281395,0.031875000000000014,0.05750000000000001,0.125,0.025625000000000005,78.04014166176336,0.35165280491113665,0.36895580199445627,0.39283006369854695,0.4782182407199732,0.4556059435556179,0.5776294816962081,0.3136906046541739,0.698,0.7965811965811966,0.22901986907787625,0.16614257571287452,0.13930863209822988,0.11720113393384964,0.0727833684736397,0.08251434285989186,0.05839607980743414,0.05095568267162889,131.217,9097.4,37.381,18404.0
tofu,weight-baseline,WGA,Llama-3.2-1B-Instruct,forget01,True,0.3120394647907102,0.30377229328270994,0.4707005701324203,0.16447822164771658,0.7092986401096889,0.5982674445924953,1e-05,10,NLL,open-unlearning/tofu_Llama-3.2-1B-Instruct_full,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/baselines/tofu/WGA/Llama-3.2-1B-Instruct/forget01,0.7651105344295501,0.12293191936911727,0.08938021915964782,0.8709333217237145,0.01430154804770646,0.49941710533870654,0.9290624999999999,0.931875,0.8049999999999999,0.9312499999999999,-87.13105075095517,0.8557518372684717,0.5229786800164787,0.4183801609484734,0.5353338420509339,0.4460879969530943,0.6383784199296516,0.7525985592980894,0.747,0.8136752136752137,0.4228998953717619,0.017392323563908577,0.005737182084868469,0.07854190626414492,0.033765393194785255,0.0068785779690059235,0.0019759261670312753,0.04042894728889223,87.579,9097.4,36.988,18404.0
tofu,weight-baseline,GradDiff,Llama-3.2-1B-Instruct,forget05,True,0.27256050512138463,0.2859478724040141,0.6752477405590964,0.13886412540984316,0.43019847025459096,0.5527302470308093,2e-05,5,NLL,open-unlearning/tofu_Llama-3.2-1B-Instruct_full,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/baselines/tofu/GradDiff/Llama-3.2-1B-Instruct/forget05,0.3745725703332573,0.04147822626448176,0.004165646223738374,0.35213546497921927,8.056669472003223e-07,0.4390993264510913,0.0558375,0.052050000000000006,0.061850000000000016,0.03813750000000001,48.674717683708494,0.6437230259552598,0.4740054951626903,0.41150007555768076,0.5395094918064028,0.45225115869331894,0.6235986938989572,0.485905961154247,0.8145,0.8094017094017093,0.1774269289412379,0.01978880841168575,0.012538950046748265,0.07456723805635193,0.0352025626499983,0.007984751412353337,0.003956231307198958,0.0036095492918355155,128.292,10304.3,132.753,15931.4
tofu,weight-baseline,IdkDPO,Llama-3.2-1B-Instruct,forget05,True,0.0,0.0,0.5978188089240865,0.5334424914123423,0.0,0.0,1e-05,10,NLL,open-unlearning/tofu_Llama-3.2-1B-Instruct_full,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/baselines/tofu/IdkDPO/Llama-3.2-1B-Instruct/forget05,0.6628935059905052,0.10918317595935151,0.09085748439654708,0.968288261294365,0.016258459276759563,0.6657496599585211,0.666175,0.6696625,0.7425499999999999,0.5601625,-48.19047991715959,0.38880083603784443,0.3712675720687393,0.3334348171799392,0.3695857354593465,0.3918025213115035,0.5090375066063164,0.012869608678198065,0.005333333333333333,0.0,0.01682386282868168,0.12118858552537859,0.07436653833466177,0.11360352966468781,0.07055247821321245,0.08075124717433937,0.03842272367918774,0.06319768095295876,92.225,10304.3,697.08,18404.1
tofu,weight-baseline,IdkNLL,Llama-3.2-1B-Instruct,forget05,True,0.29398446978615467,0.24975165742646055,0.49987517285828476,0.18676710929188872,0.3508944988187679,0.21472262619887433,5e-05,5,NLL,open-unlearning/tofu_Llama-3.2-1B-Instruct_full,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/baselines/tofu/IdkNLL/Llama-3.2-1B-Instruct/forget05,0.7499100628495217,0.1529374231143828,0.08870938223786652,0.9591886121034622,1.3921047931216453e-06,0.5795283550636637,0.8872374999999999,0.892425,0.911025,0.8186875,-83.12813674982307,0.5534405901283026,0.4630155389435005,0.3448481693862776,0.440163878351034,0.38028663638260374,0.5020225571823916,0.36324278953908845,0.04533333333333333,0.29914529914529914,0.026972129582250447,0.03563198436750099,0.020617324840154303,0.1055586199881509,0.05399280647667183,0.02044704975139515,0.009425392756945082,0.05048846788797528,108.363,10304.3,130.519,15931.3
