target,method,split,row_kind,rank,tied_at_rank,alpha,aggregate,memorization,privacy_score,utility,model_utility,forget_quality,forget_Q_A_gibberish,privleak,R8,beats_q_on_aggregate,q_rank_among_6,q_collapsed,degenerate_priv0,alpha_at_grid_edge,baseline_lr,baseline_epochs,baseline_retain_loss_type
Llama-3.2-1B-Instruct,RMU,forget01,sud,1,False,0.9,0.5945788966250632,0.7338485548002144,0.7330653168165137,0.4312624102991937,0.3271760070963186,0.2656871402817289,0.6324755208217538,-13.459268002180073,2.62,True,2.5,False,False,False,5e-05,5.0,EMBED_DIFF
Llama-3.2-1B-Instruct,RMU,forget01,sud,2,False,0.8,0.49898127946793575,0.6484531383927916,0.4252250966236559,0.47204936810444476,0.36754368553002,0.404587405685253,0.6595958095625974,-51.12160565740324,2.69,False,2.5,False,False,False,5e-05,5.0,EMBED_DIFF
Llama-3.2-1B-Instruct,RMU,forget01,sud,3,False,0.95,0.5722724220099142,0.7746850965208016,0.7333063638334612,0.38643983354653966,0.28020659264069625,0.16497269950224194,0.622411351732444,8.146399053951086,2.88,False,2.5,False,False,True,5e-05,5.0,EMBED_DIFF
Llama-3.2-1B-Instruct,RMU,forget01,baseline_q,,,,0.5822407809534611,0.8071808602112243,0.6480415350282808,0.4218489355999356,0.3046323053475848,0.0970748437978586,0.6856887167785317,25.737898460309243,,,2.5,False,False,,5e-05,5.0,EMBED_DIFF
Llama-3.2-1B-Instruct,RMU,forget01,reference_p,,,,,0.06887851270800835,0.0,,0.5991534707368931,0.006760732303569208,,-99.9999999811098,,,,,,,,,
Llama-3.2-1B-Instruct,SimNPO,forget01,sud,1,False,0.95,0.5107191137526651,0.5053317750812397,0.42473880200300707,0.6490201226924687,0.5194772438412664,0.09707484379785862,0.8646357305347919,-66.58795748446981,2.31,False,1.0,False,False,True,5e-05,10.0,NLL
Llama-3.2-1B-Instruct,SimNPO,forget01,sud,2,False,0.9,0.4619621167542725,0.4879550380145038,0.34366648789574233,0.6515201185815391,0.521653567287857,0.09707484379785862,0.8674810040742159,-73.43565523996493,2.44,False,1.0,False,False,False,5e-05,10.0,NLL
Llama-3.2-1B-Instruct,SimNPO,forget01,sud,3,False,0.8,0.34909093013288883,0.4570112195182057,0.20432099507908333,0.6616558353915459,0.5309331007082225,0.054141077480362725,0.8777758251875639,-85.00590317166359,2.75,False,1.0,False,False,False,5e-05,10.0,NLL
Llama-3.2-1B-Instruct,SimNPO,forget01,baseline_q,,,,0.557877610586019,0.5151390350857661,0.5083510064761332,0.6806632133983006,0.5379089265773666,0.0970748437978586,0.9265608489513396,-58.91381344813907,,,1.0,False,False,,5e-05,10.0,NLL
Llama-3.2-1B-Instruct,SimNPO,forget01,reference_p,,,,,0.06887851270800835,0.0,,0.5991534707368931,0.006760732303569208,,-99.9999999811098,,,,,,,,,
